chr2:204926311-204926712,
chr5:121915739-121916140 (RC),(idx:0_2-start:161-end:170-importance:0.2638521194458008);(idx:0_2-start:224-end:233-importance:0.20197618007659912);(idx:0_0-start:274-end:284-importance:0.21906454861164093);(idx:1_7-start:234-end:235-importance:0.12320290505886078);(idx:1_7-start:284-end:285-importance:0.22607216238975525)
chr18:39574824-39575225,(idx:0_1-start:97-end:103-importance:0.03090668097138405);(idx:0_1-start:137-end:143-importance:0.007091660052537918);(idx:0_4-start:205-end:212-importance:0.15499445796012878);(idx:0_1-start:291-end:297-importance:0.03716003894805908);(idx:0_1-start:338-end:344-importance:0.23654870688915253);(idx:0_0-start:351-end:361-importance:0.2042345106601715);(idx:0_2-start:372-end:381-importance:0.26341763138771057);(idx:1_3-start:337-end:345-importance:0.26716744899749756)
chr18:41700056-41700457 (RC),
chr13:83499244-83499645 (RC),(idx:0_1-start:233-end:239-importance:0.19144093990325928);(idx:0_2-start:246-end:255-importance:0.16180050373077393);(idx:0_0-start:311-end:321-importance:0.23054875433444977);(idx:1_5-start:239-end:242-importance:0.19144093990325928);(idx:1_0-start:245-end:251-importance:0.2974787950515747)
chr1:147561152-147561553,(idx:0_0-start:65-end:75-importance:0.18975284695625305);(idx:0_0-start:89-end:99-importance:0.47579488158226013);(idx:0_1-start:159-end:165-importance:0.3019633889198303);(idx:0_1-start:185-end:191-importance:0.12007147073745728);(idx:0_1-start:304-end:310-importance:0.13342931866645813);(idx:1_12-start:144-end:149-importance:0.34119361639022827);(idx:1_8-start:313-end:318-importance:0.11748024076223373)
chr6:96694358-96694759 (RC),(idx:0_0-start:46-end:56-importance:0.08278068155050278);(idx:0_1-start:212-end:218-importance:0.08447956293821335);(idx:0_0-start:248-end:258-importance:0.19251924753189087);(idx:0_0-start:334-end:344-importance:0.0825166329741478);(idx:1_0-start:250-end:256-importance:0.2534385323524475)
chr2:172561296-172561697 (RC),(idx:0_1-start:138-end:144-importance:0.17544451355934143);(idx:0_0-start:322-end:332-importance:0.35365521907806396);(idx:0_1-start:359-end:365-importance:0.1142074391245842)
chr7:139830254-139830655,(idx:0_1-start:166-end:172-importance:0.1851557493209839);(idx:0_2-start:249-end:258-importance:0.13283851742744446)
chr12:129053196-129053597 (RC),(idx:0_1-start:132-end:138-importance:0.22367511689662933);(idx:0_1-start:168-end:174-importance:0.11359734833240509);(idx:0_1-start:201-end:207-importance:0.1461564600467682);(idx:0_0-start:247-end:257-importance:0.45844724774360657);(idx:0_5-start:336-end:346-importance:0.335252046585083);(idx:1_7-start:144-end:145-importance:0.162660151720047);(idx:1_5-start:171-end:174-importance:0.07300379872322083);(idx:1_7-start:331-end:332-importance:0.33348679542541504)
chr13:67787667-67788068 (RC),(idx:0_2-start:197-end:206-importance:0.05971011519432068);(idx:0_1-start:215-end:221-importance:-0.010727671906352043);(idx:0_2-start:225-end:234-importance:0.5239584445953369);(idx:0_1-start:236-end:242-importance:0.8135952949523926);(idx:0_1-start:244-end:250-importance:0.4206105172634125);(idx:0_1-start:275-end:281-importance:0.2894618511199951);(idx:0_1-start:290-end:296-importance:0.20427206158638);(idx:1_3-start:183-end:191-importance:0.05542976036667824);(idx:1_7-start:223-end:224-importance:0.5363293290138245);(idx:1_7-start:235-end:236-importance:0.5045534372329712);(idx:1_4-start:246-end:254-importance:0.317820280790329);(idx:1_3-start:273-end:281-importance:0.4002731442451477)
chr3:95271388-95271789,(idx:0_4-start:53-end:60-importance:0.09454704821109772);(idx:0_0-start:126-end:136-importance:0.14173735678195953);(idx:0_0-start:139-end:149-importance:0.560312807559967);(idx:0_1-start:155-end:161-importance:0.5576947927474976);(idx:0_0-start:246-end:256-importance:0.03439616411924362);(idx:0_4-start:300-end:307-importance:0.0023892733734101057);(idx:0_0-start:331-end:341-importance:0.10891574621200562);(idx:0_5-start:344-end:354-importance:0.4270048439502716);(idx:1_12-start:168-end:173-importance:0.30095192790031433);(idx:1_1-start:345-end:352-importance:0.28706344962120056)
chr3:21852189-21852590,(idx:0_2-start:127-end:136-importance:0.24775180220603943);(idx:0_1-start:155-end:161-importance:0.21848717331886292);(idx:0_1-start:208-end:214-importance:0.13173778355121613);(idx:0_0-start:291-end:301-importance:0.12432258576154709);(idx:1_3-start:131-end:139-importance:0.2098417580127716);(idx:1_7-start:168-end:169-importance:0.2528453469276428)
chr4:154457440-154457841 (RC),(idx:0_1-start:59-end:65-importance:0.16325455904006958);(idx:0_0-start:98-end:108-importance:0.17808547616004944);(idx:0_1-start:116-end:122-importance:0.12426426261663437);(idx:0_1-start:147-end:153-importance:0.19445879757404327);(idx:0_0-start:184-end:194-importance:0.20560503005981445);(idx:0_1-start:199-end:205-importance:0.07450350373983383);(idx:0_2-start:225-end:234-importance:-0.19501513242721558);(idx:0_1-start:270-end:276-importance:0.13860753178596497);(idx:1_7-start:72-end:73-importance:0.11322958767414093);(idx:1_7-start:198-end:199-importance:0.1847839504480362);(idx:1_1-start:200-end:207-importance:-0.07745800167322159);(idx:1_3-start:271-end:279-importance:0.15814414620399475)
chr9:11320988-11321389 (RC),(idx:0_0-start:259-end:269-importance:0.21465319395065308);(idx:1_7-start:273-end:274-importance:0.23660612106323242)
